,user,size,fit,star,text,gender,height,weight
41,"남성, 180cm, 70kg",X,보통이에요,5.0,정말 편하고 핏감도 좋네요. 마크 곤잘레스 느낌 살아요 짱짱,남성,180cm,70kg
42,"남성, 177cm, 80kg",X,보통이에요,5.0,할인한 김에 샀는데 핏도 좋고 두께도 좋고 적당히 입을것 같습니다,남성,177cm,80kg
43,"남성, 178cm, 80kg",X,보통이에요,5.0,딱 좋습니다 안감도 좋고 재질도 좋아요 만족합니다,남성,178cm,80kg
44,"여성, 164cm, 47kg",S,커요,5.0,"소재좋고 배송빠르고
핏도 넘 예뻐요.만족해요.
뒷로고도 예뻐요~",여성,164cm,47kg
45,"남성, 187cm, 83kg",L,보통이에요,5.0,사이즈가 딱맞아서 정사이즈를 구매하시는것을 추천드립니다,남성,187cm,83kg
46,"남성, 177cm, 75kg",L,보통이에요,5.0,"딱 정 핏이구요 177에 70 중 후반
핏감 되게 좋게 나왔어요 롯데마트가서 사는 11자핏
그런 핏이아니라 어깨 살짝 넘어가는 그런핏
어깡들은 타이트할수있는 그런핏
오버핏 좋아하시면 xL 추천
재질은 부드럽고 낫배드 함
바닥에 놔두면 먼지묻음
좋고 무난한 옷",남성,177cm,75kg
47,"남성, 173cm, 64kg",M,커요,3.0,"오버핏 느낌이 생각보다 심해요, 단정하게 딱가려면 한치수 작게 사는것도 괜찮을거 같습니다.
색감은 괜찮아서 가을에 입기 좋은거 같아요.",남성,173cm,64kg
48,"남성, 178cm, 70kg",L,보통이에요,5.0,"사이즈 너무좋네요
스타일은 기본스타일이라 두루두루 매치하기 좋습니다",남성,178cm,70kg
49,"여성, 160cm, 60kg",S,보통이에요,5.0,너무 예뻐요 ㅠㅠ핏도 맘에들고 편하게 입을 수 있어영! 팔목 시보리 짱짱한거 넘 조아여 ㅋㅋ,여성,160cm,60kg
50,"남성, 181cm, 78kg",X,보통이에요,5.0,옷 깔끔하고 좋아요 길이도 적당하고 다른 옷들이랑 입어도 무난해요,남성,181cm,78kg
51,"남성, 174cm, 70kg",L,보통이에요,5.0,사이즈 색상 너무 완벽합니다 참고하시면 좋아요!,남성,174cm,70kg
52,"남성, 186cm, 82kg",X,보통이에요,5.0,편하게 입기 좋고 핏도 잘 맞아서 정말 맘에 들어요,남성,186cm,82kg
53,"여성, 158cm, 50kg",S,보통이에요,5.0,로고가 너무 작어서 안 보이지만… 진짜 예뻐여 심플하구ㅠㅠ 검은색 맨투맨 브랜드꺼 급필이었는데 희희 편하게 입고 다닐게용,여성,158cm,50kg
54,"남성, 164cm, 65kg",L,보통이에요,5.0,옷 이쁜데 사진 찍느라 실루엣이 잘안나왔네요ㅜ 이쁘고 실루엣도 좋고 색감도 괜찮아요ㅎㅎ,남성,164cm,65kg
55,"남성, 180cm, 82kg",X,보통이에요,5.0,심플한맨투맨입니다. 마크곤잘레스영어마크맘에들어요,남성,180cm,82kg
